q,a,index
如何处理 ALM-0001000300030004：ALM-0001000300030004？ || ALM-0001000300030004 如何修复 || ALM-0001000300030004 处理步骤 || ALM-0001000300030004 故障排查方法,"告警解释：无
影响：无
可能原因：无
前提条件：无
处理步骤：无
清除方式：无
参考：无",uid=unknown-vendor-tmp-ALM-0001000300030004-0001; doc=tmp; chap=1.3.19.2; alm=0001000300030004
如何处理 ALM-6008：上传日志到 OBS服务失败？ || 上传日志到 OBS服务失败 如何修复 || ALM-6008 处理步骤 || 上传日志到 OBS服务失败 故障排查方法,"告警解释：OpenStack 周期（默认为 300秒）检查上一次上传日志至 OBS服务是否成功，当检查到 上传失败时，产生此告警。
影响：日志无法上传至 OBS服务，如果未设置本地备份，则会导致该次日志丢失。
可能原因：主机与 OBS服务网络连接异常。; Apacheproxy 服务状态异常。; 日志配置文件中 OBS服务IP、端口未正确设置。; OBS 服务上指定的日志上传空间已满。
前提条件：●已获取 fsp、root用户的密码： 默认密码：请参见 《华为云 Stack 8.1.0 帐户一览表》 的“A类（后台）”页签 中，在对应节点下该帐户的默认密码。
处理步骤：步骤1登录FusionSphere OpenStack 安装部署界面。 具体请参见 3.4 登录FusionSphere OpenStack 安装部署界面（ ManageOne 方式）章 节。
步骤2在“概要”界面，根据告警附加信息中的“主机 ID”或“主机名”，在“管理 IP地 址”一栏获得主机的管理 IP地址。
步骤3使用PuTTY，通过主机的管理 IP地址，登录告警所在主机。 默认帐号： fsp。 系统同时支持密码和公私钥对身份进行认证，如果使用公私钥对进行登录认证请参见
清除方式：无
参考：无",uid=unknown-vendor-tmp-ALM-6008-0002; doc=tmp; chap=1.2.1.1; alm=6008; page=81; severity=重要; autoclear=是
如何处理 ALM-6010：NTP 服务器与外部时钟源时间差超过阈值？ || NTP 服务器与外部时钟源时间差超过阈值 如何修复 || ALM-6010 处理步骤 || NTP 服务器与外部时钟源时间差超过阈值 故障排查方法,"告警解释：在配置外部时钟源之后， ntp-server （NTP服务器）会周期性（默认为 2min）检查主 ntp-server 所在节点与外部时钟源的时间差（如果存在多个外部时钟源，则逐一检 查），当任意一个时间差超过阈值时，产生此告警。
影响：如果本地主 ntp-server 所在节点与外部时钟源时间差超过阈值，则不与外部时钟源进行 时间同步。
可能原因：本地主 ntp-server 所在节点时间被修改。; 外部时钟源时间发生跳变。; 第一次跟外部时钟源对接时，用户没有触发强制同步操作。; 配置了多个外部时钟源， ntp-server 和某个外部时钟源时差超过阈值。
前提条件：●已获取 fsp、root用户的密码： 默认密码：请参见 《华为云 Stack 8.1.0 帐户一览表》 的“A类（后台）”页签 中，在对应节点下该帐户的默认密码。
处理步骤：步骤1登录FusionSphere OpenStack 安装部署界面。 具体请参见 3.4 登录FusionSphere OpenStack 安装部署界面（ ManageOne 方式）章 节。
步骤2选择“运维”，进入“日常维护”。
步骤3稍等2分钟，在“时间同步”标签下，提示由“系统时间状态查询中”变为“系统时间 异常”，如下图所示。请根据界面提示查看详情，获取上报告警主机所对应的时间 差。
步骤4选择“配置”，进入“系统”。打开“ NTP”标签，查看已配置的外部时钟源信息， 如下图所示。
步骤5使用PuTTY，通过 External OM 平面IP地址登录 OpenStack 控制节点。 默认帐号： fsp华为云 Stack 故障管理 1 告警参考 说明 ●系统同时支持密码和公私钥对身份进行认证，如果使用公私钥对进行登录认证请参见 3.2 使 用PuTTY通过公私钥对认证方式登录节点 。 ● External OM 平面IP地址的获取方式：请获取软件安装阶段 HUAWEI CLOUD Stack Deploy 导 出的参数信息汇总文件《 xxx_export_all_v2_CN.xlsx 》，并在“工具生成的 IP参数”页签搜 索“参数名称”为 Reverse-Proxy 的数据，获取对应的 IP地址。 ●默认密码：请参见 《华为云 Stack 8.1.0 帐户一览表》 中的“ A类（后台）”页签中，在对应 节点下该帐户的默认密码。
步骤6执行以下命令，并按提示输入“ root”用户的密码，切换至“ root”用户。 su - root
步骤7执行以下命令，防止系统超时退出。 TMOUT=0
步骤8执行以下命令，导入环境变量。 source set_env 回显如下类似信息： please choose environment variable which you want to import: (1) openstack environment variable (keystone v3) (2) cps environment variable (3) openstack environment variable legacy (keystone v2) (4) openstack environment variable of cloud_admin (keystone v3) please choose:[1|2|3|4]
步骤9输入“ 1”，选择使用 keystone v3 鉴权，按照提示输入 OS_USERNAME 对应帐号的密 码。 默认密码：请参见 《华为云 Stack 8.1.0 帐户一览表》 的“B类（FusionSphere OpenStack ）”页签中，“ dc_admin ”帐户对应的默认密码。
步骤10执行如下命令，获取 ntp-server 部署情况，包含节点 id信息，回显结果中 runsonhost 属 性的值。 cps template-instance-list --service ntp ntp-server 回显如下类似信息： +------------+----------------+--------+------------+----------------+ | instanceid | componenttype  | status |runsonhost  |omip            | +------------+----------------+--------+------------+----------------+ | 1          | ntp-server     | active | Mgmt1      |10.38.82.84     | | 0          | ntp-server     | standby| Mgmt3      |10.38.82.136    | +------------+----------------+--------+------------+----------------+ 说明 回显信息数目取决于 ntp-server 的部署方式， status显示active字段的即为主 NTP Server 所在的 节点。
步骤11根据获取到的 IP信息，登录主 ntp-server 部署所在节点，用户名与密码参照 步骤5～步 骤6。
步骤12执行以下命令，确认是否和每台服务器之间的系统时间差都小于阈值。 ntpdate -d 外部时钟源 IP 42174775-2DA8-B93F-CF47-47902E7AA2B0: ~ # ntpdate -d 192.168.35.202 24 Jul 19:11:52 ntpdate[5469]: ntpdate 4.2.6p5@1.2349-o Thu Dec 20 00:00:00 UTC 2018 (1)华为云 Stack 故障管理 1 告警参考 Looking for host 192.168.35.202 and service ntp host found : 192.168.35.202 transmit(192.168.35.202) receive(192.168.35.202) transmit(192.168.35.202) receive(192.168.35.202) transmit(192.168.35.202) receive(192.168.35.202) transmit(192.168.35.202) receive(192.168.35.202) server 192.168.35.202, port 123 stratum 11, precision -24, leap 00, trust 000 refid [192.168.35.202], delay 0.02592, dispersion 0.00005 transmitted 4, in filter 4 reference time:    e0e2bb54.e30f606d  Wed, Jul 24 2019 19:11:16.886 originate timestamp: e0e2bb7f.e6f1a121  Wed, Jul 24 2019 19:11:59.902 transmit timestamp:  e0e2bb7f.0a6cb785  Wed, Jul 24 2019 19:11:59.040 filter delay:  0.02679  0.02612  0.02629  0.02592
清除方式：无
参考：无",uid=unknown-vendor-tmp-ALM-6010-0003; doc=tmp; chap=1.2.1.2; alm=6010; page=89; severity=重要; autoclear=是
如何处理 ALM-6014：DNS 服务器连接中断？ || DNS 服务器连接中断 如何修复 || ALM-6014 处理步骤 || DNS 服务器连接中断 故障排查方法,"告警解释：OpenStack 周期（默认为 1分钟）采集 DNS Server 对外连接状态，当连接中断时产生此 告警。
影响：如果DNS Server 对外连接中断，就无法访问外部的域名服务器，导致跨 AZ的域名解析 失败。
可能原因：网络故障。; 外部域名服务器故障。
前提条件：●已获取 fsp、root用户的密码： 默认密码：请参见 《华为云 Stack 8.1.0 帐户一览表》 的“A类（后台）”页签 中，在对应节点下该帐户的默认密码。
处理步骤：步骤1使用PuTTY，通过 External OM 平面IP地址登录 OpenStack 控制节点。 默认帐号： fsp华为云 Stack 故障管理 1 告警参考 说明 ●系统同时支持密码和公私钥对身份进行认证，如果使用公私钥对进行登录认证请参见 3.2 使 用PuTTY通过公私钥对认证方式登录节点 。 ● External OM 平面IP地址的获取方式：请获取软件安装阶段 HUAWEI CLOUD Stack Deploy 导 出的参数信息汇总文件《 xxx_export_all_v2_CN.xlsx 》，并在“工具生成的 IP参数”页签搜 索“参数名称”为 Reverse-Proxy 的数据，获取对应的 IP地址。 ●默认密码：请参见 《华为云 Stack 8.1.0 帐户一览表》 中的“ A类（后台）”页签中，在对应 节点下该帐户的默认密码。
步骤2执行以下命令，并按提示输入“ root”用户的密码，切换至“ root”用户。 su - root
步骤3执行以下命令，防止系统超时退出。 TMOUT=0
步骤4执行以下命令，导入环境变量。 source set_env 回显如下类似信息： please choose environment variable which you want to import: (1) openstack environment variable (keystone v3) (2) cps environment variable (3) openstack environment variable legacy (keystone v2) (4) openstack environment variable of cloud_admin (keystone v3) please choose:[1|2|3|4]
步骤5输入“ 1”，选择使用 keystone v3 鉴权，按照提示输入 OS_USERNAME 对应帐号的密 码。 默认密码：请参见 《华为云 Stack 8.1.0 帐户一览表》 的“B类（FusionSphere OpenStack ）”页签中，“ dc_admin ”帐户对应的默认密码。
步骤6执行如下操作获取外部域名服务器地址。 cps template-params-show --service dns dns-server 返回结果： +----------+------------------------------------------+ | Property | Value                                    | +----------+------------------------------------------+ | address  | /az1.dc1.domainname.com/192.168.211.10   | | network  | [{""ip"": ""192.168.211.222"", ""systeminterf | |          | ace"": ""external_om"", ""mask"": ""24"", ""gat | |          | eway"": ""192.168.211.1""}]                 | | server   | /#/192.168.222.230#53@external_om        | +----------+------------------------------------------+ 返回结果中的 192.168.222.230 就是外部域名服务器对应的 ip地址。
步骤7执行如下命令，检查与外部域名服务器之间的网络是否正常。 ping 外部域名服务器地址 ●能够ping通，执行 8。 ●不能ping通，执行 步骤10。
步骤8检查使用外部 DNS服务器是否使用 bind套件实现。华为云 Stack 故障管理 1 告警参考 ●是，执行 步骤9。 ●否，执行 步骤11。
步骤9在zone配置文件中，增加“ com”域配置。 例如： zone ""com"" in { type master; file ""named.empty""; }; 处理完毕。
步骤10联系网络管理员排查网络故障。网络故障消除后，检查告警是否恢复。 ●是，执行结束。 ●否，执行 步骤11。
步骤11联系第三方 DNS服务器管理人员，确认 DNS是否存在故障。 ●是，执行 步骤12。 ●否，执行 步骤12。
步骤12联系第三方 DNS服务器管理人员消除第三方 DNS服务器故障。 DNS故障消除后，检查 告警是否恢复。 ●是，执行结束。 ●否，执行 步骤13。
步骤13请联系技术支持工程师协助解决。 ----结束 告警清除 此告警修复后，系统会自动清除此告警，无需手工清除。 参考信息 如果恢复第三方 DNS服务器之后，由于 DNS缓存，导致 FusionSphere OpenStack 系统 DNS解析功能未恢复，请参考 3.10 如何清理 DNS缓存章节清理 FusionSphere OpenStack 系统中的 DNS缓存。
清除方式：无
参考：无",uid=unknown-vendor-tmp-ALM-6014-0004; doc=tmp; chap=1.2.1.3; alm=6014; page=92; severity=重要; autoclear=是
如何处理 ALM-6015：NTP 服务器与外部时钟源网络故障或外部时钟源故障？ || NTP 服务器与外部时钟源网络故障或外部时钟源故障 如何修复 || ALM-6015 处理步骤 || NTP 服务器与外部时钟源网络故障或外部时钟源故障 故障排查方法,"告警解释：在配置外部时钟源之后， ntp-server （NTP服务器）会周期性（默认为 2min）检查主 ntp-server 所在节点与外部时钟源的连接状态，当与所有外部时钟源出现网络故障或者 外部时钟源本身故障，且持续时间超过 30分钟后，产生此告警。当任意一个外部时钟 源故障恢复或者网络故障恢复后，该告警消除。华为云 Stack 故障管理 1 告警参考
影响：如果本地主 ntp-server 所在节点与外部时钟源网络故障或者外部时钟源故障，则不与外 部时钟源进行时间同步。
可能原因：本地ntp与外部时钟源连接网络故障。; 外部时钟源未启动或者故障。; 外部时钟源所在机器防火墙不允许 ntpd访问。; 配置外部时钟源时，外部时钟源和所选的网络平面不在同一网段下，且未配置 NTP网关。 说明 如果ManageOne 运维面上，存在多个此告警，且资源标识相同，但对象类型不一致，需要将对 象类型为 host的告警手动清除。
前提条件：●已获取 fsp、root用户的密码： 默认密码：请参见 《华为云 Stack 8.1.0 帐户一览表》 的“A类（后台）”页签 中，在对应节点下该帐户的默认密码。
处理步骤：步骤1登录FusionSphere OpenStack 安装部署界面。 具体请参见 3.4 登录FusionSphere OpenStack 安装部署界面（ ManageOne 方式）章 节。华为云 Stack 故障管理 1 告警参考
步骤2选择“运维  > 组件维护”，进入“组件维护”页面。
步骤3在“组件”页签的组件列表中，“全部服务”选择“ ntp”，“全部组件”选择“ ntp- server”。单击“搜索”，记录“组件状态”为“ active”的主机 ID。
步骤4在“概要”界面，根据获取到的“ active”的主机 ID，在“管理 IP地址”一栏获得 “active”的主机的管理 IP地址。
步骤5选择“配置  > 系统 > NTP”，进入 NTP配置页面。在“网络平面”一栏获取“外出网 口”信息，在“外部 NTP（IP/域名）”获取“外部时钟源”信息。 说明 外部时钟源可能配置了多个，请全部记录。
步骤6判断“ NTP网关”和“外部 NTP（IP/域名）”是否在同一网段下。 ●是，执行 步骤9。 ●否，执行 步骤7。
步骤7重新配置“ NTP网关”、“ NTP客户端 IP”和“ NTP子网掩码”，并单击“提交”。
步骤8等待5分钟～ 10分钟，查看告警是否清除。 ●是，处理完毕。 ●否，执行 步骤9。
步骤9使用PuTTY，通过步骤4中获取到的 IP地址，登录主 ntp-server 部署所在节点。 默认帐号： fsp。 系统同时支持密码和公私钥对身份进行认证，如果使用公私钥对进行登录认证请参见
清除方式：无
参考：无",uid=unknown-vendor-tmp-ALM-6015-0005; doc=tmp; chap=1.2.1.4; alm=6015; page=94; severity=重要; autoclear=是
如何处理 ALM-6016：日志服务连接 OBS失败？ || 日志服务连接 OBS失败 如何修复 || ALM-6016 处理步骤 || 日志服务连接 OBS失败 故障排查方法,"告警解释：OpenStack 周期（默认为 300秒）检查一次连接 OBS日志服务是否成功，当检查到连接 失败时，产生此告警。
影响：日志服务连接 OBS失败，将导致上传日志至 OBS服务失败。
可能原因：主机与 OBS日志服务网络连接异常。; Apacheproxy 服务状态异常。; 日志配置文件中 OBS服务IP、端口未正确设置。
前提条件：●已获取 fsp、root用户的密码： 默认密码：请参见 《华为云 Stack 8.1.0 帐户一览表》 的“A类（后台）”页签 中，在对应节点下该帐户的默认密码。
处理步骤：步骤1登录FusionSphere OpenStack 安装部署界面。 具体请参见 3.4 登录FusionSphere OpenStack 安装部署界面（ ManageOne 方式）章 节。
步骤2在“概要”界面，根据告警附加信息中的“主机 ID”或“主机名”，在“管理 IP地 址”一栏获得主机的管理 IP地址。
步骤3使用PuTTY，通过主机的管理 IP地址，登录告警所在主机。 默认帐号： fsp。 系统同时支持密码和公私钥对身份进行认证，如果使用公私钥对进行登录认证请参见
清除方式：无
参考：无",uid=unknown-vendor-tmp-ALM-6016-0006; doc=tmp; chap=1.2.1.5; alm=6016; page=98; severity=重要; autoclear=是
如何处理 ALM-6017：主机状态异常？ || 主机状态异常 如何修复 || ALM-6017 处理步骤 || 主机状态异常 故障排查方法,"告警解释：OpenStack 周期（默认为 60s）检查所有的主机状态，如果存在状态不正常的主机，产 生此告警。
影响：该主机不能提供服务。
可能原因：硬件故障导致主机无法使用。; 硬件设备掉电，导致写磁盘文件的 IO丢失或者写错扇区。; 主机磁盘损坏或 RAID卡未配置电池。; 网络规划错误出现异常 PXE接入的主机。; cps-client 进程进入 D状态。; 在Region Type I 的分布式裸金属场景下， SDI节点所在裸金属服务器下电。
前提条件：●已获取 fsp、root用户的密码： 默认密码：请参见 《华为云 Stack 8.1.0 帐户一览表》 的“A类（后台）”页签 中，在对应节点下该帐户的默认密码。
处理步骤：步骤1确认当前主机状态是否正常。 1.登录FusionSphere OpenStack 安装部署界面。 具体请参见 3.4 登录FusionSphere OpenStack 安装部署界面（ ManageOne 方 式）章节。 2.在“概要”页面，查看告警附加信息中的“主机 ID”对应的“状态”是否为“正 常”。 –是，手动清除告警，处理完毕。 –否，执行 步骤2，排查下一个可能原因。
步骤2确认当前系统部署的场景是否为 Region Type I 场景。 ●是，执行 步骤3。 ●否，执行 步骤5。
步骤3检查告警节点是否为分布式裸金属场景的 SDI节点。 1.登录FusionSphere OpenStack 安装部署界面。 具体请参见 3.4 登录FusionSphere OpenStack 安装部署界面（ ManageOne 方 式）章节。华为云 Stack 故障管理 1 告警参考 2.在“概要”页面，查看告警附加信息中的“主机 ID”对应的“节点类型”是否为 “SDI节点的主机”。 –是，获取状态异常主机节点的 BMC IP地址，执行 步骤4。 –否，执行 步骤5，排查下一个可能原因。
步骤4排查SDI节点是否正常下电，导致主机状态异常。 1.登录Service OM 界面。 具体操作请参见 3.3 登录和注销 Service OM 界面。 2.在Service OM 界面，选择“服务列表  > 资源 > 裸金属资源  > 裸金属服务器”。 3.在“裸金属服务器”页签右上角搜索栏，下拉选择搜索方式为“ BMC IP地址”， 输入SDI节点BMC IP地址，单击搜索按钮，查看节点“电源状态”是否为“下 电”。 –是，排查是否为如下几种情况。如果是，属于正常现象，请忽略或手动屏蔽 告警。否则，执行 步骤5，排查下一个可能原因。 ▪裸金属服务器扩容后下电。 ▪裸金属服务器上下电，重启操作。 ▪裸金属服务器下发完成后，重启操作系统。 ▪裸金属服务器实例上下电、重启操作。 –否，执行 步骤5，排查下一个可能原因。
步骤5检查是否其他环境主机连入此环境。 1.登录FusionSphere OpenStack 安装部署界面。 具体请参见 3.4 登录FusionSphere OpenStack 安装部署界面（ ManageOne 方 式）章节。 2.在“概要”页面，查看是否存在“误接入的主机”列表。 –是，执行 步骤6。 –否，执行 步骤7，排查下一个可能原因。
步骤6删除误接入的主机，具体请参照 2.4.1.2.7 AZ 内误接入主机的处理方法 。 手动清除告警，处理完毕。
步骤7在“概要”界面，根据告警附加信息中的“主机 ID”或“主机名”，在“ BMC IP地 址”一栏获得主机的 BMC IP地址，查看 BMC IP地址是否为空。 ●是，说明 PXE主机失败，执行 步骤24。 ●否，执行 步骤8。
步骤8登录Service OM 界面。 具体操作请参见 3.3 登录和注销 Service OM 界面。
步骤9在“服务列表  > 资源 > 裸金属资源  > 裸金属服务器”页面，检查是否存在裸金属服务 器BMC IP地址和主机 BMC IP地址一致的情况。 ●是，登录 FusionSphere OpenStack 安装部署界面，在“概要”页面或“运维  > 扩 容”，选择该主机，单击“删除”。然后手动清除告警，处理完毕。 ●否，继续 步骤10。华为云 Stack 故障管理 1 告警参考
步骤10检查主机网络是否故障。 1.使用PuTTY，通过 External OM 平面IP地址登录 OpenStack 控制节点。 默认帐号： fsp 说明 –系统同时支持密码和公私钥对身份进行认证，如果使用公私钥对进行登录认证请参见
清除方式：无
参考：无",uid=unknown-vendor-tmp-ALM-6017-0007; doc=tmp; chap=1.2.1.6; alm=6017; page=104; severity=重要; autoclear=删除主机场景需要手动清
如何处理 ALM-6018：主机CPU占用率超过阈值？ || 主机CPU占用率超过阈值 如何修复 || ALM-6018 处理步骤 || 主机CPU占用率超过阈值 故障排查方法,"告警解释：OpenStack 周期（默认为 300s）检测主机 CPU占用率，当检测到主机 CPU占用率大于 等于告警阈值时，系统产生此告警。 说明 系统默认告警阈值的偏移量为 5%，且系统默认的告警阈值如下： ●重要：主机 CPU占用率 ≥90% ●次要： 80%≤主机CPU占用率＜ 90%
影响：可能会造成系统运行速度慢。
可能原因：主机业务繁忙负载过重。
前提条件：●已获取 fsp、root用户的密码： 默认密码：请参见 《华为云 Stack 8.1.0 帐户一览表》 的“A类（后台）”页签 中，在对应节点下该帐户的默认密码。
处理步骤：步骤1登录FusionSphere OpenStack 安装部署界面。华为云 Stack 故障管理 1 告警参考 具体请参见 3.4 登录FusionSphere OpenStack 安装部署界面（ ManageOne 方式）章 节。
步骤2在“概要”界面，根据告警附加信息中的“主机 ID”或“主机名”，在“节点类型” 列，查看当前主机节点类型是否为控制节点。 ●是，执行 步骤5。 ●否，执行 步骤3。
步骤3迁移该主机上的虚拟机到其他主机，具体操作请参见 《华为云 Stack 8.1.0 运维指南》 中的“迁移虚拟机”。 如果无主机可迁移，执行 步骤5。
步骤4等待3分钟~4分钟，查看告警是否恢复。 ●是，处理完毕。 ●否，执行 步骤5。
步骤5收集信息，并联系技术支持工程师协助解决。 说明 收集信息的方式如下： 1.在ManageOne 运维面，选择“集中监控  > 告警管理  > 当前告警”，进入“当前告警”界 面。 2.查找此告警，并展开此告警信息，单击“告警帮助”选项卡，再单击“告警帮助辅助处理工 具”的链接，进入链接后收集信息。 收集信息时，参考如下说明，配置参数信息： – csn ：自动获取流水号。 – password ：输入 dc_admin 密码。 默认密码：请参见 《华为云 Stack 8.1.0 帐户一览表》 的“B类（FusionSphere OpenStack ）”页签中，该帐户对应的默认密码。 – start_time 和end_time ：非必选参数，如果不填写或者填写的时间区间小于 1小时，则 默认收集最近 1天的日志，如果填写的时间区间大于等于 1小时，则按照填写的时间段 收集。 ----结束 告警清除 此告警修复后，系统会自动清除此告警，无需手工清除。 参考信息 无。
清除方式：无
参考：无",uid=unknown-vendor-tmp-ALM-6018-0008; doc=tmp; chap=1.2.1.7; alm=6018; page=110; severity=重要/次要; autoclear=是
如何处理 ALM-6019：主机内存占用率超过阈值？ || 主机内存占用率超过阈值 如何修复 || ALM-6019 处理步骤 || 主机内存占用率超过阈值 故障排查方法,"告警解释：OpenStack 周期（默认为 300s）检测主机内存占用率，当检测到主机内存占用率大于 等于系统设置的告警阈值（默认为 99%）时，系统产生此告警。华为云 Stack 故障管理 1 告警参考 说明 支持自定义主机内存告警阈值，请在 Service OM 管理页面的告警设置中调整阈值。
影响：可能会造成系统运行速度慢。
可能原因：主机业务繁忙负载过重。
前提条件：无
处理步骤：步骤1登录FusionSphere OpenStack 安装部署界面。 具体请参见 3.4 登录FusionSphere OpenStack 安装部署界面（ ManageOne 方式）章 节。
步骤2在“概要”界面，根据告警附加信息中的“主机 ID”或“主机名”，在“节点类型” 列，查看当前主机节点类型是否为控制节点。 ●是，执行 步骤5。 ●否，执行 3。
步骤3迁移该主机上的虚拟机到其他主机。 具体操作请参见 《华为云 Stack 8.1.0 运维指南》 中的“迁移虚拟机”。 如果无主机可迁移，执行 步骤5。
步骤4等待3分钟~4分钟，查看告警是否恢复。 ●是，处理完毕。华为云 Stack 故障管理 1 告警参考 ●否，执行 步骤5。
步骤5收集信息，并联系技术支持工程师协助解决。 说明 收集信息的方式如下： 1.在ManageOne 运维面，选择“集中监控  > 告警管理  > 当前告警”，进入“当前告警”界 面。 2.查找此告警，并展开此告警信息，单击“告警帮助”选项卡，再单击“告警帮助辅助处理工 具”的链接，进入链接后收集信息。 收集信息时，参考如下说明，配置参数信息： – csn ：自动获取流水号。 – password ：输入 dc_admin 密码。 默认密码：请参见 《华为云 Stack 8.1.0 帐户一览表》 的“B类（FusionSphere OpenStack ）”页签中，该帐户对应的默认密码。 – start_time 和end_time ：非必选参数，如果不填写或者填写的时间区间小于 1小时，则 默认收集最近 1天的日志，如果填写的时间区间大于等于 1小时，则按照填写的时间段 收集。 ----结束 告警清除 此告警修复后，系统会自动清除此告警，无需手工清除。 参考信息 无。
清除方式：无
参考：无",uid=unknown-vendor-tmp-ALM-6019-0009; doc=tmp; chap=1.2.1.8; alm=6019; page=112; severity=次要; autoclear=是
如何处理 ALM-6020：主机逻辑磁盘占用率超过阈值？ || 主机逻辑磁盘占用率超过阈值 如何修复 || ALM-6020 处理步骤 || 主机逻辑磁盘占用率超过阈值 故障排查方法,"告警解释：OpenStack 周期（默认为 300s）检测主机逻辑磁盘占用率，当检测到主机逻辑磁盘占 用率大于等于系统设置的告警阈值时，系统产生此告警。 说明 系统默认告警阈值的偏移量为 5%，且系统默认的告警阈值如下： ●紧急：主机逻辑磁盘占用率 ≥95% ●重要： 85%≤主机逻辑磁盘占用率＜ 95%
影响：可能会造成系统的性能下降，并且无法存储系统新产生的数据。 当根分区满时，系统业务将无法正常处理。 当swift分区满时，会造成注册镜像业务失败。
可能原因：主机逻辑磁盘上存储的文件占用空间过大。
前提条件：已获取 fsp、root用户的密码 默认密码：请参见 《华为云 Stack 8.1.0 帐户一览表》 的“A类（后台）”页签中，在 对应节点下该帐户的默认密码。
处理步骤：步骤1登录FusionSphere OpenStack 安装部署界面。 具体请参见 3.4 登录FusionSphere OpenStack 安装部署界面（ ManageOne 方式）章 节。
步骤2在“概要”界面，根据告警附加信息中的“主机 ID”或“主机名”，在“管理 IP地 址”一栏获得主机的管理 IP地址。
步骤3使用PuTTY，通过主机的管理 IP地址，登录告警所在主机。 默认帐号： fsp。 系统同时支持密码和公私钥对身份进行认证，如果使用公私钥对进行登录认证请参见
清除方式：无
参考：无",uid=unknown-vendor-tmp-ALM-6020-0010; doc=tmp; chap=1.2.1.9; alm=6020; page=113; severity=紧急/重要; autoclear=是
